puzzle_id,side_to_move,total_moves,agreed_moves,agreement_rate,first_move_agrees,all_moves_agree,sf_moves,pv_moves,move_by_move
001w5,Black,4,3,0.75,False,False,"['Rf5', 'Qh7+', 'Kxh7']","['f8f7', 'c2h7', 'g8h7']","[('f8f7', 'Rf5', False), ('c2h7', 'Qh7+', True), ('g8h7', 'Kxh7', True), ('g7g8q', 'g8=Q#', True)]"
00AoZ,Black,4,3,0.75,False,False,"['Ke6', 'Rd7+', 'Kxd7']","['g1c5', 'b7d7', 'd6d7']","[('g1c5', 'Ke6', False), ('b7d7', 'Rd7+', True), ('d6d7', 'Kxd7', True), ('b4c5', 'Qxc5', True)]"
00DTg,White,4,3,0.75,False,False,"['gxf3', 'Bxh2+', 'Kxh2']","['e5f6', 'd6h2', 'g1h2']","[('e5f6', 'gxf3', False), ('d6h2', 'Bxh2+', True), ('g1h2', 'Kxh2', True), ('d8d4', 'Qxd4', True)]"
00NUc,White,4,3,0.75,False,False,"['Rge1', 'Rxh3+', 'gxh3']","['c6c7', 'b3h3', 'g2h3']","[('c6c7', 'Rge1', False), ('b3h3', 'Rxh3+', True), ('g2h3', 'gxh3', True), ('f2h2', 'Rh2#', True)]"
00aDl,White,4,3,0.75,False,False,"['Qxc4', 'Qxb1+', 'Kxb1']","['f3e2', 'a1b1', 'c1b1']","[('f3e2', 'Qxc4', False), ('a1b1', 'Qxb1+', True), ('c1b1', 'Kxb1', True), ('a2a1', 'Ra1#', True)]"
00fXf,White,4,3,0.75,False,False,"['Nc3', 'Bxc5', 'dxc5']","['a4c5', 'd6c5', 'd4c5']","[('a4c5', 'Nc3', False), ('d6c5', 'Bxc5', True), ('d4c5', 'dxc5', True), ('g5g4', 'g4', True)]"
00pER,Black,4,4,1.0,True,True,"['Kh8', 'Qg8+', 'Rxg8']","['g8h8', 'b3g8', 'f8g8']","[('g8h8', 'Kh8', True), ('b3g8', 'Qg8+', True), ('f8g8', 'Rxg8', True), ('g5f7', 'Nf7#', True)]"
00uDH,White,4,3,0.75,False,False,"['Kb3', 'Rxc5', 'Kxc5']","['d4c5', 'c8c5', 'b4c5']","[('d4c5', 'Kb3', False), ('c8c5', 'Rxc5', True), ('b4c5', 'Kxc5', True), ('f3f2', 'f2', True)]"
0123H,Black,4,3,0.75,False,False,"['Rd5', 'Qg8+', 'Rxg8']","['b6d4', 'f7g8', 'f8g8']","[('b6d4', 'Rd5', False), ('f7g8', 'Qg8+', True), ('f8g8', 'Rxg8', True), ('g5f7', 'Nf7#', True)]"
01JaO,White,4,3,0.75,False,False,"['Qe3', 'Rxf3+', 'Bxf3']","['f2f3', 'f8f3', 'g2f3']","[('f2f3', 'Qe3', False), ('f8f3', 'Rxf3+', True), ('g2f3', 'Bxf3', True), ('h2f2', 'Qf2#', True)]"
01OFy,Black,4,3,0.75,False,False,"['Be6', 'Rxh7+', 'Kxh7']","['g8h8', 'h5h7', 'h8h7']","[('g8h8', 'Be6', False), ('h5h7', 'Rxh7+', True), ('h8h7', 'Kxh7', True), ('d1h5', 'Qh5#', True)]"
01do1,Black,4,3,0.75,False,False,"['Qd4', 'Qxf8+', 'Kxf8']","['f5g4', 'h6f8', 'g8f8']","[('f5g4', 'Qd4', False), ('h6f8', 'Qxf8+', True), ('g8f8', 'Kxf8', True), ('d7d8q', 'd8=Q+', True)]"
01gBD,Black,4,3,0.75,False,False,"['Rg8', 'Qxc8+', 'Bxc8']","['e3d3', 'h3c8', 'b7c8']","[('e3d3', 'Rg8', False), ('h3c8', 'Qxc8+', True), ('b7c8', 'Bxc8', True), ('f1f8', 'Rf8#', True)]"
01m5k,White,4,3,0.75,False,False,"['Qc3', 'Qxf1+', 'Kxf1']","['a2a4', 'b5f1', 'g1f1']","[('a2a4', 'Qc3', False), ('b5f1', 'Qxf1+', True), ('g1f1', 'Kxf1', True), ('e7e1', 'Re1#', True)]"
01y4w,Black,4,3,0.75,False,False,"['a5', 'Bxh7+', 'Kxh7']","['e5d5', 'd3h7', 'g8h7']","[('e5d5', 'a5', False), ('d3h7', 'Bxh7+', True), ('g8h7', 'Kxh7', True), ('d2d5', 'Qxd5', True)]"
